2021-01-29 08:51:30 status unpacked libcap2-bin:armhf 1:2.24-8
2021-01-29 08:51:30 status unpacked libcap2-bin:armhf 1:2.24-8
2021-01-29 08:51:30 install libgcrypt20:armhf <none> 1.6.3-2+deb8u4
2021-01-29 08:51:30 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u4
2021-01-29 08:51:31 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u4
2021-01-29 08:51:31 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u4
2021-01-29 08:51:31 install libgpg-error0:armhf <none> 1.17-3
2021-01-29 08:51:31 status half-installed libgpg-error0:armhf 1.17-3
2021-01-29 08:51:31 status unpacked libgpg-error0:armhf 1.17-3
2021-01-29 08:51:31 status unpacked libgpg-error0:armhf 1.17-3
2021-01-29 08:51:31 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2021-01-29 08:51:31 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2021-01-29 08:51:31 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2021-01-29 08:51:31 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2021-01-29 08:51:32 install libselinux1:armhf <none> 2.3-2
2021-01-29 08:51:32 status half-installed libselinux1:armhf 2.3-2
2021-01-29 08:51:32 status unpacked libselinux1:armhf 2.3-2
2021-01-29 08:51:32 status unpacked libselinux1:armhf 2.3-2
2021-01-29 08:51:32 install libsemanage-common:all <none> 2.3-1
2021-01-29 08:51:32 status half-installed libsemanage-common:all 2.3-1
2021-01-29 08:51:32 status unpacked libsemanage-common:all 2.3-1
2021-01-29 08:51:32 status unpacked libsemanage-common:all 2.3-1
2021-01-29 08:51:32 install libsemanage1:armhf <none> 2.3-1+b1
2021-01-29 08:51:32 status half-installed libsemanage1:armhf 2.3-1+b1
2021-01-29 08:51:32 status unpacked libsemanage1:armhf 2.3-1+b1
2021-01-29 08:51:32 status unpacked libsemanage1:armhf 2.3-1+b1
2021-01-29 08:51:32 install libsepol1:armhf <none> 2.3-2
2021-01-29 08:51:32 status half-installed libsepol1:armhf 2.3-2
2021-01-29 08:51:33 status unpacked libsepol1:armhf 2.3-2
2021-01-29 08:51:33 status unpacked libsepol1:armhf 2.3-2
2021-01-29 08:51:33 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2021-01-29 08:51:33 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2021-01-29 08:51:33 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2021-01-29 08:51:33 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2021-01-29 08:51:33 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2021-01-29 08:51:33 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2021-01-29 08:51:33 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2021-01-29 08:51:33 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2021-01-29 08:51:33 install libtext-wrapi18n-perl:all <none> 0.06-7
2021-01-29 08:51:33 status half-installed libtext-wrapi18n-perl:all 0.06-7
2021-01-29 08:51:33 status unpacked libtext-wrapi18n-perl:all 0.06-7
2021-01-29 08:51:33 status unpacked libtext-wrapi18n-perl:all 0.06-7
2021-01-29 08:51:34 install lsb-base:all <none> 4.1+Debian13+nmu1
2021-01-29 08:51:34 status half-installed lsb-base:all 4.1+Debian13+nmu1
